_id,Reported Date,Suburb - Incident,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence count
203573,05/04/2024,SALISBURY,5108,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203574,05/04/2024,SALISBURY DOWNS,5108,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203575,05/04/2024,SALISBURY DOWNS,5108,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
203576,05/04/2024,SALISBURY EAST,5109,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2
203577,05/04/2024,SALISBURY HEIGHTS,5109,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
203578,05/04/2024,SALISBURY HEIGHTS,5109,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,1
203579,05/04/2024,SALISBURY NORTH,5108,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
203580,05/04/2024,SALISBURY NORTH,5108,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203581,05/04/2024,SALISBURY NORTH,5108,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,1
203582,05/04/2024,SEAFORD,5169,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,3
203583,05/04/2024,SEAFORD,5169,OFFENCES AGAINST THE PERSON,ACTS INTENDED TO CAUSE INJURY,Common Assault,1
203584,05/04/2024,SEAFORD HEIGHTS,5169,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
203585,05/04/2024,SEAFORD HEIGHTS,5169,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
203586,05/04/2024,SEATON,5023,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,1
203587,05/04/2024,SEAVIEW DOWNS,5049,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Theft from shop,1
203588,05/04/2024,SEFTON PARK,5083,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
203589,05/04/2024,SEMAPHORE,5019,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
203590,05/04/2024,SEMAPHORE,5019,OFFENCES AGAINST PROPERTY,THEFT AND RELATED OFFENCES,Other theft,1
